layer173: 0.9898231576  beta: 0.07772378379877128
layer174: 0.9899219330  beta: 0.07587375035372723
layer175: 0.9900160022  beta: 0.07385453623672517
layer176: 0.9901050993  beta: 0.07169498905376959
layer177: 0.9901890575  beta: 0.0694303178530136
layer178: 0.9902678160  beta: 0.06710001911827973
layer179: 0.9903414192  beta: 0.0647456121756049
layer180: 0.9904100086  beta: 0.062408447375900164
layer181: 0.9904738106  beta: 0.06012779336954396
layer182: 0.9905331198  beta: 0.0579393348127893
layer183: 0.9905882820  beta: 0.055874136286996695
layer184: 0.9906396771  beta: 0.05395806440143718
layer185: 0.9906877039  beta: 0.05221161457608909
layer186: 0.9907327671  beta: 0.05065006323338364
layer187: 0.9907752671  beta: 0.04928385745930841
layer188: 0.9908155932  beta: 0.048119157668902846
layer189: 0.9908541185  beta: 0.047158458839711315
layer190: 0.9908911977  beta: 0.04640122768743629
layer191: 0.9909271659  beta: 0.04584450371079932
layer192: 0.9909623391  beta: 0.045483420303801494
layer193: 0.9909970158  beta: 0.04531160885542786
layer194: 0.9910314782  beta: 0.045321455795356624
layer195: 0.9910659940  beta: 0.045504192110255026
layer196: 0.9911008177  beta: 0.045849808716760365
layer197: 0.9911361913  beta: 0.04634680990465215
layer198: 0.9911723440  beta: 0.04698184001037321
layer199: 0.9912094907  beta: 0.047739243060101216
layer200: 0.9912478287  beta: 0.04860063739598696
layer201: 0.9912875337  beta: 0.049544602372583284
layer202: 0.9913287538  beta: 0.05054657701465112
layer203: 0.9913716029  beta: 0.05157905691519569
layer204: 0.9914161531  beta: 0.05261214374821148
layer205: 0.9914624277  beta: 0.053614453338332445
layer206: 0.9915103960  beta: 0.05455432954539012
layer207: 0.9915599688  beta: 0.055401252783790655
layer208: 0.9916109986  beta: 0.056127286626115956
layer209: 0.9916632817  beta: 0.05670838548122051
layer210: 0.9917165645  beta: 0.05712539797105863
layer211: 0.9917705526  beta: 0.05736464426249914
layer212: 0.9918249218  beta: 0.05741801345394999
layer213: 0.9918793305  beta: 0.05728260564203444
layer214: 0.9919334318  beta: 0.05696001670788877
layer215: 0.9919868840  beta: 0.05645541785244227
layer216: 0.9920393605  beta: 0.05577660661178061
layer217: 0.9920905567  beta: 0.054933197767535
layer218: 0.9921401957  beta: 0.05393608393632458
layer219: 0.9921880322  beta: 0.05279723485679422
layer220: 0.9922338561  beta: 0.05152983324967468
layer221: 0.9922774950  beta: 0.05014867658783479
layer222: 0.9923188171  beta: 0.0486707201302098
layer223: 0.9923577336  beta: 0.04711560627888518
layer224: 0.9923942009  beta: 0.04550602378994322
layer225: 0.9924282217  beta: 0.043867767842584934
